const,IDL,Log_Personal,Log_Capital,Prop_Calificado,Edad_Empresa,Margen_ValAg,Apalancamiento,Pct_Capital_Ext,Pct_Servicios,tic4_4c,tic7_4,tic3_1,MacroSector_2.0,MacroSector_3.0,MacroSector_4.0,MacroSector_5.0,Region_2.0,Region_3.0,Region_4.0
1.0,-0.6023554954933297,5.948034989180646,9.821511454379522,0.034031413612565446,24,0.3980506654838004,0.6823365401664947,0.0,0.024535121537283412,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.12558852286695388,4.61512051684126,11.866272025982777,0.42,23,0.6878657061575597,0.7822298480595611,0.0,0.005338109656594088,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.9367030103751149,4.143134726391533,15.048947008109756,0.8387096774193549,23,0.6346179004538828,0.7278109678648471,0.99,0.06666515830212415,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.37070438516184917,4.543294782270004,11.525790526087844,0.34408602150537637,23,0.5591172401669641,0.5180139751017083,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.779009246956563,4.382026634673881,14.108762564177972,0.43037974683544306,22,0.44830782779772266,0.35643149468931223,0.0,0.05573456878852166,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.47619361525838305,4.430816798843313,10.899805125414849,0.024096385542168676,22,0.7892099397679793,0.7085948529688174,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.37437631930859083,5.5134287461649825,11.850024861739069,0.5708502024291497,22,0.45690958576285107,0.4248860170500962,0.45,2.644732173256449,1.0,2.0,2.0,0,0,0,1,0,0,0
1.0,-0.5340171648789926,3.2188758248682006,11.595840198273143,0.08333333333333333,21,0.7241676027693957,0.6623794705486655,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.18871897041613633,3.713572066704308,11.398990515922497,0.05,21,0.5364333040461305,0.6092957460781391,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.53263910540186,2.8903717578961645,12.329037006151047,0.35294117647058826,20,0.8211195720040214,0.27042308249496144,0.0,0.22045417020050312,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.4212987430565875,4.07753744390572,11.530774698142228,0.1206896551724138,20,0.7717380653284823,0.8267428494391552,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.47918798895334436,2.833213344056216,11.302583219930687,0.1875,20,0.7019975845623562,0.4684255384793382,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.25807068146362905,5.579729825986222,11.448400883129445,0.19318181818181818,19,0.20492123972765913,0.5196008449426893,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.43493271179853454,6.236369590203704,10.223372843154454,0.060784313725490195,19,0.7942897086786149,0.7255216281979769,0.0,0.0019410115903731057,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.4402457634530017,3.091042453358316,10.461343970558309,0.19047619047619047,19,0.5758391716608987,0.7425537047814668,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.3690559473281311,4.418840607796598,12.459136335643038,0.43902439024390244,19,0.5956629242500855,0.76009027130201,0.0,0.19219736309768862,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.2527171296448691,4.61512051684126,11.515634392510625,0.13,18,0.29860487023230836,0.5711601824908004,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.09818872360799784,4.219507705176107,11.933259088808677,0.0,18,0.5691208110768792,0.2658381303307551,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.23559503396928705,4.663439094112067,11.618665651401127,0.02857142857142857,18,0.19979776001636673,0.4527758223122765,0.0,0.0037949969799729775,1.0,1.0,2.0,0,0,0,0,0,0,0
1.0,0.06239367415698362,4.969813299576001,11.69503761755627,0.2937062937062937,18,0.2799795174521983,0.40190661556618623,0.0,0.0004085138342829377,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,1.8590217626031262,2.5649493574615367,14.19572230045614,0.5833333333333334,18,0.3900051298420454,0.8695102574371469,0.0,0.11404390909325367,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.31523257431846086,3.5553480614894135,11.522401600708275,0.058823529411764705,18,0.6097661246117303,0.7674765713633098,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.8799607691630394,2.70805020110221,14.530506450432615,0.0,17,1.1405830122737326,1.1209326895815088,0.0,0.02991739520716746,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.1302058250968932,5.934894195619588,12.632055516714036,0.5782493368700266,18,0.3756191431757948,0.6539863361809787,0.0,0.005778344395316702,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.47052457578622986,2.9444389791664403,11.5744599994879,0.05555555555555555,17,0.7886913709835789,0.31747032608008574,0.0,0.006540467036519984,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.5213290522556425,4.955827057601261,10.522879590125621,0.0851063829787234,19,0.6560110633698099,0.6513404659419529,0.0,0.0016925253140191768,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.14444743721790335,4.31748811353631,12.424766202180498,0.3108108108108108,16,-0.012770613305344462,0.7358444968189441,0.0,0.027912055314368054,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.4247413894590409,2.9444389791664403,11.108725389703839,0.05555555555555555,16,0.7307963588692553,0.16352129544627927,0.0,0.000839830535663007,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.4205712799463885,4.02535169073515,12.083734272789869,0.6545454545454545,16,0.6181779640830899,0.5064419682444248,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.6466860973568496,4.969813299576001,10.006862391749019,0.13986013986013987,16,0.6021459429886619,0.804979991051076,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
